19 120 8 2 0     2.154
19 120 8 3 0     2.007
19 120 8 4 0     1.787
19 120 8 5 0     2.339
19 120 8 6 0     2.330
19 120 8 7 0     2.820
19 120 8 8 0     3.131
19 120 8 9 0     3.520
19 120 810 0     3.680
19 120 811 0     3.471
19 120 812 0     2.923
19 120 813 0     1.883
19 120 814 0     0.888
19 120 815 0     0.334
19 120 816 0     0.678
19 120 817 0     0.620
19 120 818 0     0.856
19 120 819 0     1.315
19 120 820 0     1.704
19 120 821 0     2.397
19 120 822 0     2.888
19 120 823 0     2.541
19 120 824 0     2.692
20 120 8 1 0     2.900
20 120 8 2 0     2.008
20 120 8 3 0     1.869
20 120 8 4 0     1.473
20 120 8 5 0     1.683
20 120 8 6 0     1.788
20 120 8 7 0     2.392
20 120 8 8 0     2.692
20 120 8 9 0     3.663
20 120 810 0     3.965
20 120 811 0     3.801
20 120 812 0     2.978
20 120 813 0     2.826
20 120 814 0     2.146
20 120 815 0     0.941
20 120 816 0     0.723
20 120 817 0     0.340
20 120 818 0    -0.058
20 120 819 0     0.314
20 120 820 0     1.227
20 120 821 0     1.745
20 120 822 0     2.566
20 120 823 0     2.780
20 120 824 0     3.111
21 120 8 1 0     2.915
21 120 8 2 0     2.385
21 120 8 3 0     1.838
21 120 8 4 0     2.108
21 120 8 5 0     1.445
21 120 8 6 0     1.771
21 120 8 7 0     1.896
21 120 8 8 0     2.531
21 120 8 9 0     3.149
21 120 810 0     3.239
21 120 811 0     3.840
21 120 812 0     3.872
21 120 813 0     3.323
21 120 814 0     2.576
21 120 815 0     1.849
21 120 816 0     0.674
21 120 817 0     0.463
21 120 818 0    -0.110
21 120 819 0     0.427
21 120 820 0     0.597
21 120 821 0     1.603
21 120 822 0     1.968
21 120 823 0     2.610
21 120 824 0     2.878
22 120 8 1 0     2.855
22 120 8 2 0     2.646
22 120 8 3 0     2.811
22 120 8 4 0     1.769
22 120 8 5 0     1.480
22 120 8 6 0     1.436
22 120 8 7 0     1.515
22 120 8 8 0     1.787
22 120 8 9 0     2.562
22 120 810 0     3.182
22 120 811 0     3.385
22 120 812 0     3.796
22 120 813 0     3.573
22 120 814 0     3.397
22 120 815 0     2.487
22 120 816 0     1.670
22 120 817 0     0.673
22 120 818 0     0.087
22 120 819 0    -0.090
22 120 820 0     0.280
22 120 821 0     1.110
22 120 822 0     1.955
22 120 823 0     2.714
22 120 824 0     3.023
23 120 8 1 0     2.904
23 120 8 2 0     3.462
23 120 8 3 0     3.093
23 120 8 4 0     2.326
23 120 8 5 0     2.156
23 120 8 6 0     1.715
23 120 8 7 0     1.698
23 120 8 8 0     1.245
23 120 8 9 0     2.349
23 120 810 0     2.562
23 120 811 0     3.080
23 120 812 0     3.342
23 120 813 0     3.987
23 120 814 0     3.255
23 120 815 0     2.670
23 120 816 0     2.292
23 120 817 0     1.620
23 120 818 0     0.424
23 120 819 0     0.014
23 120 820 0     0.471
23 120 821 0     0.786
23 120 822 0     1.542
23 120 823 0     1.858
23 120 824 0     2.906
24 120 8 1 0     3.328
24 120 8 2 0     3.641
24 120 8 3 0     3.096
24 120 8 4 0     2.841
24 120 8 5 0     2.379
24 120 8 6 0     1.643
24 120 8 7 0     1.341
24 120 8 8 0     1.013
24 120 8 9 0     1.296
24 120 810 0     1.892
24 120 811 0     2.395
24 120 812 0     3.251
24 120 813 0     3.839
24 120 814 0     3.838
24 120 815 0     3.493
24 120 816 0     2.985
24 120 817 0     1.626
24 120 818 0     0.913
24 120 819 0     0.620
24 120 820 0     0.694
24 120 821 0     0.311
24 120 822 0     0.698
24 120 823 0     1.443
24 120 824 0     2.513
25 120 8 1 0     2.616
25 120 8 2 0     3.162
25 120 8 3 0     3.153
25 120 8 4 0     2.970
25 120 8 5 0     2.787
25 120 8 6 0     1.711
25 120 8 7 0     1.401
25 120 8 8 0     1.492
25 120 8 9 0     1.467
25 120 810 0     1.396
25 120 811 0     2.209
25 120 812 0     2.323
25 120 813 0     3.029
25 120 814 0     3.148
25 120 815 0     3.655
25 120 816 0     3.197
25 120 817 0     2.650
25 120 818 0     1.816
25 120 819 0     1.353
25 120 820 0     0.622
25 120 821 0     0.937
25 120 822 0     0.830
25 120 823 0     1.205
25 120 824 0     1.671
26 120 8 1 0     2.713
26 120 8 2 0     3.399
26 120 8 3 0     3.295
26 120 8 4 0     3.005
26 120 8 5 0     2.720
26 120 8 6 0     2.173
26 120 8 7 0     2.011
26 120 8 8 0     1.171
26 120 8 9 0     1.343
26 120 810 0     0.965
26 120 811 0     1.697
26 120 812 0     2.023
26 120 813 0     2.701
26 120 814 0     2.940
26 120 815 0     2.942
26 120 816 0     3.120
26 120 817 0     2.356
26 120 818 0     2.146
26 120 819 0     1.697
26 120 820 0     1.351
26 120 821 0     1.061
26 120 822 0     1.206
26 120 823 0     1.167
26 120 824 0     1.574
27 120 8 1 0     2.248
27 120 8 2 0     2.780
27 120 8 3 0     3.201
27 120 8 4 0     3.487
27 120 8 5 0     3.112
27 120 8 6 0     2.552
27 120 8 7 0     2.459
27 120 8 8 0     1.811
27 120 8 9 0     1.603
27 120 810 0     1.398
27 120 811 0     1.399
27 120 812 0     1.692
27 120 813 0     2.077
27 120 814 0     2.643
27 120 815 0     2.678
27 120 816 0     2.976
27 120 817 0     2.708
27 120 818 0     2.290
27 120 819 0     2.018
27 120 820 0     1.282
27 120 821 0     0.989
27 120 822 0     1.107
27 120 823 0     1.596
27 120 824 0     1.683
28 120 8 1 0     1.840
28 120 8 2 0     2.721
28 120 8 3 0     3.010
28 120 8 4 0     3.575
28 120 8 5 0     3.147
28 120 8 6 0     3.019
28 120 8 7 0     2.775
28 120 8 8 0     2.001
28 120 8 9 0     1.490
28 120 810 0     1.605
28 120 811 0     1.095
28 120 812 0     1.223
28 120 813 0     1.799
28 120 814 0     1.863
28 120 815 0     2.207
28 120 816 0     2.498
28 120 817 0     2.557
28 120 818 0     2.511
28 120 819 0     2.203
28 120 820 0     1.688
28 120 821 0     1.237
28 120 822 0     1.351
28 120 823 0     1.144
28 120 824 0     1.627
29 120 8 1 0     1.923
29 120 8 2 0     2.120
29 120 8 3 0     2.839
29 120 8 4 0     3.328
29 120 8 5 0     3.046
29 120 8 6 0     3.291
29 120 8 7 0     2.624
29 120 8 8 0     2.661
29 120 8 9 0     1.867
29 120 810 0     1.796
29 120 811 0     1.397
29 120 812 0     1.413
29 120 813 0     1.643
29 120 814 0     1.424
29 120 815 0     1.725
29 120 816 0     2.341
29 120 817 0     2.500
29 120 818 0     2.393
29 120 819 0     2.030
29 120 820 0     2.138
29 120 821 0     2.176
29 120 822 0     1.419
29 120 823 0     1.465
29 120 824 0     1.731
30 120 8 1 0     2.064
30 120 8 2 0     2.204
